target_gene,condition,n_sig_proteins,self_padj,self_lfc
SLC7A5P1,Control,0,,
TYR,Control,0,,
VDAC2,Control,0,,
GSN,Control,0,,
IDI2-AS1,Control,0,,
RB1,Control,0,,
SOX4,Control,0,,
PFN1,Co-culture,0,,
LGALS3BP,Co-culture,0,,
CDKN1A,Control,0,,
EMP1,Control,0,,
CD63,Control,0,,
PIK3IP1,Control,0,,
SPESP1,Control,0,,
PPIA,Control,0,,
SAT1,Control,0,,
PUF60,Control,0,,
TPP1,Control,0,,
NUP50-AS1,Control,0,,
DDX17,Control,0,,
HNRNPA1,Control,0,,
CXCR4,Control,0,0.9921488210779884,-0.03060387633740902
ACTA2,Control,0,,
NDUFA13,Control,0,,
KCNN4,Control,0,,
PFDN4,Control,0,,
UQCRH,Control,0,,
POLD2,Control,0,,
VAT1,Control,0,,
TIMP3,Control,0,,
APOC2,Control,0,,
IDH2,Control,0,,
GSEC,Control,0,,
STX7,Control,0,,
HLA-F,Control,0,,
XAGE1A,Control,0,,
UCN2,Control,0,,
C6orf226,Control,0,,
CITED1,Control,0,,
SP100,Control,0,,
ST3GAL6-AS1,Control,0,,
TOP1MT,Control,0,,
FMN1,Control,0,,
NMRK1,Control,0,,
TGFB1,Control,0,,
HSPA1A,Control,0,,
PSAP,Control,0,,
CCND2,Control,0,,
GAA,Control,0,,
MIA,Control,0,,
C1QBP,Control,0,,
CTSB,Control,0,,
NGFR,Control,0,,
CYP27A1,Control,0,,
LINC00518,Control,0,,
CST3,Control,0,,
JAK1,Control,0,,
HLA-DRB5,Control,0,,
GAS5,Control,0,,
SERPINE2,Control,0,,
APOE,Control,0,,
SDC3,Control,0,,
WBP2,Control,0,,
NONO,Control,0,,
MFGE8,Control,0,,
TAPBPL,Control,0,,
PTMA,Control,0,,
GPNMB,Control,0,,
MRPL47,Control,0,,
RTP4,Control,0,,
APOD,IFNγ,0,,
TP53,IFNγ,0,,
TIMP1,IFNγ,0,,
MFGE8,IFNγ,0,,
WNT7A,IFNγ,0,,
VDAC2,IFNγ,0,,
GRN,IFNγ,0,,
LINC00518,IFNγ,0,,
SCARB2,IFNγ,0,,
NME1,Control,0,,
HSPA1A,IFNγ,0,,
NT5E,IFNγ,0,,
CTSB,IFNγ,0,,
EIF3K,IFNγ,0,,
TPP1,IFNγ,0,,
HASPIN,IFNγ,0,,
DDX17,IFNγ,0,,
LY96,IFNγ,0,,
PABPC1,IFNγ,0,,
DLL3,IFNγ,0,,
PPA1,IFNγ,0,,
CDK4,IFNγ,0,,
CHCHD2,IFNγ,0,,
CCND2,IFNγ,0,,
BOLA2,IFNγ,0,,
JMJD7,IFNγ,0,,
FOXM1,IFNγ,0,,
PYGB,IFNγ,0,,
IDI2-AS1,IFNγ,0,,
TRIM22,IFNγ,0,,
APOC2,IFNγ,0,,
SLC22A18,IFNγ,0,,
TFAP2A,IFNγ,0,,
RUVBL2,IFNγ,0,,
CGAS,IFNγ,0,,
VAT1,IFNγ,0,,
EVA1A,IFNγ,0,,
DAG1,IFNγ,0,,
NGFR,IFNγ,0,,
LRRC75A-AS1,IFNγ,0,,
NCL,IFNγ,0,,
RAB27A,Control,0,,
LRPAP1,IFNγ,0,,
CDC123,IFNγ,0,,
RB1,IFNγ,0,,
KDR,IFNγ,0,0.7845606958754541,-0.285448282957077
TSC22D3,IFNγ,0,,
HLA-F,IFNγ,0,,
TM4SF1,IFNγ,0,,
TYR,IFNγ,0,,
EEA1,IFNγ,0,,
IDH2,IFNγ,0,,
TAPBPL,IFNγ,0,,
FGFR1,IFNγ,0,,
EEF1G,IFNγ,0,,
NEAT1,IFNγ,0,,
PFDN4,IFNγ,0,,
UQCRFS1,IFNγ,0,,
SDC3,IFNγ,0,,
RNASEH2A,IFNγ,0,,
CD151,IFNγ,0,,
FBXO32,IFNγ,0,,
IRF3,IFNγ,0,,
FSTL3,IFNγ,0,,
ACTA2,IFNγ,0,,
JPT1,IFNγ,0,,
CDKN2A,IFNγ,0,,
MC1R,IFNγ,0,,
ST6GALNAC2,IFNγ,0,,
TIMP3,IFNγ,0,,
S100A6,IFNγ,0,,
TTLL1,IFNγ,0,,
GPNMB,IFNγ,0,,
C6orf226,IFNγ,0,,
FKBP4,IFNγ,0,,
CMSS1,IFNγ,0,,
NME1,IFNγ,0,,
RBP7,IFNγ,0,,
NOLC1,IFNγ,0,,
CTSA,IFNγ,0,,
ATP1B1,IFNγ,0,,
ENPP1,IFNγ,0,,
UQCRH,IFNγ,0,,
IRF4,Control,0,,
STAT1,Control,0,,
ACSL3,Control,0,,
ATP5MD,Control,0,,
CCT3,Control,0,,
HNRNPC,Control,0,,
FRZB,Control,0,,
MT2A,Control,0,,
PPA1,Control,0,,
SGK1,IFNγ,0,,
UBC,Control,0,,
HASPIN,Control,0,,
PAICS,Control,0,,
FTH1,Control,0,,
ATP1B1,Control,0,,
NCL,Control,0,,
SINHCAF,Control,0,,
ROMO1,Control,0,,
RUVBL2,Control,0,,
TPRKB,Control,0,,
TRIM22,Control,0,,
EEA1,Control,0,,
PET100,Control,0,,
LGALS3BP,Control,0,,
BZW2,Control,0,,
LAMP2,Control,0,,
ISYNA1,Control,0,,
LRPAP1,Control,0,,
SMAD4,Control,0,,
SERPINA3,Control,0,,
RRS1,Control,0,,
FOS,Control,0,,
DAG1,Control,0,,
CDKN2B,Control,0,,
CHCHD2,Control,0,,
SLC19A1,Control,0,,
SLC25A13,Control,0,,
CDC123,Control,0,,
TIMP2,Control,0,,
UQCRFS1,Control,0,,
NT5E,Control,0,,
NSG1,IFNγ,0,,
CTSD,IFNγ,0,,
SLC26A2,IFNγ,0,,
GAA,IFNγ,0,,
SPESP1,IFNγ,0,,
PUF60,IFNγ,0,,
TMEM173,IFNγ,0,,
IRF4,IFNγ,0,,
SLIRP,IFNγ,0,,
GPI,Control,0,,
SLC25A13,IFNγ,0,,
SMAD4,IFNγ,0,,
PTMA,IFNγ,0,,
SAT1,IFNγ,0,,
TGFB1,IFNγ,0,,
S100B,IFNγ,0,,
ACSL3,IFNγ,0,,
LAMP2,IFNγ,0,,
FMN1,IFNγ,0,,
CORO1A,IFNγ,0,,
CDKN1A,IFNγ,0,,
EEF1G,Control,0,,
