names,scores,logfoldchanges,pvals,pvals_adj,target_gene,condition
DDX60L,-4.6421843,-1.1137861,3.4474551091412276e-06,0.0006646020776256649,IFNGR2,IFNγ
PSME1,-4.661046,-0.5055812,3.1460662271602127e-06,0.0006114714949051063,IFNGR2,IFNγ
ZNFX1,-4.670216,-0.80883,3.0088287990010426e-06,0.0005896309791893614,IFNGR2,IFNγ
MT2A,-4.678692,-0.1449909,2.8871095145611287e-06,0.000570492840077279,IFNGR2,IFNγ
GTF2E2,-4.6887655,-0.6772176,2.7485832854421665e-06,0.0005476840912975182,IFNGR2,IFNγ
L3HYPDH,-4.7302055,-0.614311,2.2429248366220763e-06,0.0004507138451354464,IFNGR2,IFNγ
REEP5,-4.7702913,-0.38264957,1.839597095277595e-06,0.0003728250113095926,IFNGR2,IFNγ
TRIM69,-4.7996955,-1.9707932,1.5890705082667793e-06,0.0003276525208001902,IFNGR2,IFNγ
TEX29,-4.822465,-2.0542157,1.4179484806588704e-06,0.00029493328397704505,IFNGR2,IFNγ
CXCL9,-4.8488994,-3.1837022,1.2414838050416843e-06,0.0002605138405765347,IFNGR2,IFNγ
BTN3A2,-4.9157667,-1.126651,8.843570957052618e-07,0.0001872310308335997,IFNGR2,IFNγ
CDC26,-4.9938536,-0.48884103,5.918625816791308e-07,0.00012875454620895,IFNGR2,IFNγ
EIF1AY,-4.996598,-0.6716481,5.835058914567276e-07,0.00012811196016872153,IFNGR2,IFNγ
CASP8,-5.1516256,-0.6699984,2.5823821261511875e-07,5.831756664313996e-05,IFNGR2,IFNγ
CEBPB,-5.1563845,-0.23182428,2.5176373268149794e-07,5.7402131051381536e-05,IFNGR2,IFNγ
PPP1R12A,-5.159858,-0.43937325,2.471371306850777e-07,5.68943266291705e-05,IFNGR2,IFNγ
IRF3,-5.1729884,-0.7229993,2.3037937115353449e-07,5.3556427929339317e-05,IFNGR2,IFNγ
C1S,-5.1841736,-1.3273226,2.169749691425841e-07,5.093970760701934e-05,IFNGR2,IFNγ
ERAP2,-5.1861362,-0.92988014,2.1470202241129822e-07,5.091014355416703e-05,IFNGR2,IFNγ
RARS,-5.315615,-0.46001378,1.0629751098221469e-07,2.5459864448588633e-05,IFNGR2,IFNγ
CALCOCO2,-5.3376727,-0.6103934,9.414715532099627e-08,2.277976884664759e-05,IFNGR2,IFNγ
TMEM158,-5.350716,-0.15495788,8.760678835764886e-08,2.1415795520995565e-05,IFNGR2,IFNγ
SQOR,-5.380086,-1.1318675,7.445037011463371e-08,1.8389241418314525e-05,IFNGR2,IFNγ
CXCL10,-5.393216,-1.7838609,6.92076598023256e-08,1.7274231886660472e-05,IFNGR2,IFNγ
SAMD9,-5.4129634,-1.0266275,6.199010167614934e-08,1.5637332882392054e-05,IFNGR2,IFNγ
PSMA5,-5.5078454,-0.21149717,3.6325181687511475e-08,9.26174955026099e-06,IFNGR2,IFNγ
HSBP1L1,-5.5349574,-0.64683604,3.1130434460668584e-08,8.023531107949711e-06,IFNGR2,IFNγ
CNDP2,-5.5806875,-0.75442004,2.3956980158746244e-08,6.242504544221879e-06,IFNGR2,IFNγ
CCDC71L,-5.8140454,-1.1938715,6.098085508326994e-09,1.624694422173592e-06,IFNGR2,IFNγ
