Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Lymphocyte Proliferation (GO:0046651),1/38,0.0207075512732703,0.048863342767838,0,0,53.92432432432432,209.07845583696505,CTPS1
GO_Biological_Process_2023,Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),1/38,0.0207075512732703,0.048863342767838,0,0,53.92432432432432,209.07845583696505,TXNDC17
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),3/1127,0.0209414326147877,0.048863342767838,0,0,6.293927935943061,24.332486906676127,CDK6;NPC1;NONO
GO_Biological_Process_2023,mRNA 3'-End Processing (GO:0031124),1/40,0.0217865488821679,0.0492620151681404,0,0,51.15384615384615,195.7382752343542,PABPC1
GO_Biological_Process_2023,Negative Regulation Of mRNA Catabolic Process (GO:1902373),1/41,0.0223256423422114,0.0492620151681404,0,0,49.8725,189.6162115443105,PABPC1
GO_Biological_Process_2023,Positive Regulation Of Response To Biotic Stimulus (GO:0002833),1/41,0.0223256423422114,0.0492620151681404,0,0,49.8725,189.6162115443105,LY96
GO_Biological_Process_2023,Regulation Of Amide Metabolic Process (GO:0034248),1/41,0.0223256423422114,0.0492620151681404,0,0,49.8725,189.6162115443105,TMED10
GO_Biological_Process_2023,Positive Regulation Of Viral Process (GO:0048524),1/41,0.0223256423422114,0.0492620151681404,0,0,49.8725,189.6162115443105,PABPC1
GO_Biological_Process_2023,Positive Regulation Of Cell-Matrix Adhesion (GO:0001954),1/43,0.0234030191755172,0.051084009598172,0,0,47.49285714285714,178.3304657718936,CDK6
Reactome_2022,IKK Complex Recruitment Mediated By RIP1 R-HSA-937041,1/23,0.0125805227255512,0.052334974538293,0,0,90.75909090909092,397.1259752205777,LY96
GO_Biological_Process_2023,Regulation Of Fibroblast Proliferation (GO:0048145),1/46,0.0250170610222384,0.0523552926547877,0,0,44.32,163.46090194189088,CDK6
GO_Biological_Process_2023,Positive Regulation Of mRNA Catabolic Process (GO:0061014),1/45,0.02447931669919,0.0523552926547877,0,0,45.32954545454545,168.16929253740548,PABPC1
GO_Biological_Process_2023,Negative Regulation Of Cellular Metabolic Process (GO:0031324),1/46,0.0250170610222384,0.0523552926547877,0,0,44.32,163.46090194189088,CDK6
GO_Biological_Process_2023,Vacuolar Transport (GO:0007034),1/46,0.0250170610222384,0.0523552926547877,0,0,44.32,163.46090194189088,NPC1
Reactome_2022,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,1/24,0.0131242257813257,0.0524969031253029,0,0,86.80869565217391,376.1677267870623,CCND1
Reactome_2022,Deadenylation Of mRNA R-HSA-429947,1/25,0.0136676567242548,0.0526457888637965,0,0,83.1875,357.1008995813401,PABPC1
Reactome_2022,Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769,1/26,0.0142108156769532,0.0527830296572547,0,0,79.856,339.6876146735057,LY96
GO_Biological_Process_2023,Cellular Defense Response (GO:0006968),1/48,0.0260917413851551,0.0535012474867322,0,0,42.42978723404255,154.70479323760136,LY96
GO_Biological_Process_2023,"Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum (GO:0006890)",1/48,0.0260917413851551,0.0535012474867322,0,0,42.42978723404255,154.70479323760136,TMED10
GO_Biological_Process_2023,Neurogenesis (GO:0022008),1/49,0.0266286776759158,0.0540562156821091,0,0,41.54375,150.62793852241148,CDK6
GO_Biological_Process_2023,Regulated Exocytosis (GO:0045055),1/51,0.0277017430592618,0.0545966392333025,0,0,39.878,143.01287394480332,TMED10
GO_Biological_Process_2023,Cholesterol Transport (GO:0030301),1/51,0.0277017430592618,0.0545966392333025,0,0,39.878,143.01287394480332,NPC1
GO_Biological_Process_2023,Regulation Of TORC1 Signaling (GO:1903432),1/50,0.0271653448579923,0.0545966392333025,0,0,40.69387755102041,146.73452100035948,NPC1
Reactome_2022,Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,1/28,0.0152963180805092,0.054855761392171,0,0,73.93333333333334,309.05191525436794,CTPS1
GO_Biological_Process_2023,mRNA Stabilization (GO:0048255),1/53,0.0287737329936235,0.0556292171210055,0,0,38.340384615384615,136.0428936891653,PABPC1
GO_Biological_Process_2023,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),1/53,0.0287737329936235,0.0556292171210055,0,0,38.340384615384615,136.0428936891653,CCND1
GO_Biological_Process_2023,Negative Regulation Of TOR Signaling (GO:0032007),1/54,0.0293093249711077,0.056130122350329,0,0,37.61509433962264,132.7756240232595,NPC1
GO_Biological_Process_2023,Pattern Recognition Receptor Signaling Pathway (GO:0002221),1/56,0.0303797035423347,0.0571025909175366,0,0,36.24363636363636,126.63456015986765,LY96
GO_Biological_Process_2023,Mitotic DNA Damage Checkpoint Signaling (GO:0044773),1/56,0.0303797035423347,0.0571025909175366,0,0,36.24363636363636,126.63456015986765,CCND1
Reactome_2022,Diseases Associated With TLR Signaling Cascade R-HSA-5602358,1/31,0.016922534733464,0.0586647870760085,0,0,66.53,271.3831303578043,LY96
Reactome_2022,Oncogene Induced Senescence R-HSA-2559585,1/33,0.0180053225963931,0.0604049532266094,0,0,62.365625,250.52819538044847,CDK6
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),1/63,0.034117584722214,0.0635400889780684,0,0,32.14032258064516,108.56815667877292,CCND1
GO_Biological_Process_2023,Regulation Of Cell-Matrix Adhesion (GO:0001952),1/65,0.0351831422208768,0.0637694452753392,0,0,31.1328125,104.20738341965524,CDK6
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle (GO:0045787),1/65,0.0351831422208768,0.0637694452753392,0,0,31.1328125,104.20738341965524,CCND1
GO_Biological_Process_2023,Positive Regulation Of Interleukin-1 Production (GO:0032732),1/64,0.0346504971189346,0.0637694452753392,0,0,31.62857142857143,106.3492751339043,TMED10
GO_Biological_Process_2023,Regulation Of Viral Genome Replication (GO:0045069),1/67,0.0362476310178566,0.0651174256338486,0,0,30.18636363636364,100.13967676460432,PABPC1
GO_Biological_Process_2023,Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),1/70,0.0378423625037638,0.065658116139009,0,0,28.869565217391305,94.52837096535384,CDK6
GO_Biological_Process_2023,Response To Molecule Of Bacterial Origin (GO:0002237),1/69,0.0373110520780908,0.065658116139009,0,0,29.29558823529412,96.33753689320037,LY96
GO_Biological_Process_2023,Establishment Of Protein Localization To Membrane (GO:0090150),1/69,0.0373110520780908,0.065658116139009,0,0,29.29558823529412,96.33753689320037,NPC1
GO_Biological_Process_2023,Positive Regulation Of Protein Transport (GO:0051222),1/70,0.0378423625037638,0.065658116139009,0,0,28.869565217391305,94.52837096535384,TMED10
GO_Biological_Process_2023,Sterol Homeostasis (GO:0055092),1/73,0.0394346948215383,0.0659583963739748,0,0,27.6625,89.43588520720674,NPC1
GO_Biological_Process_2023,Cholesterol Homeostasis (GO:0042632),1/72,0.0389041837581843,0.0659583963739748,0,0,28.053521126760565,91.0800620630536,NPC1
GO_Biological_Process_2023,Positive Regulation Of Cell-Substrate Adhesion (GO:0010811),1/71,0.038373406353793,0.0659583963739748,0,0,28.455714285714286,92.77674343537714,CDK6
GO_Biological_Process_2023,Positive Regulation Of Secretion By Cell (GO:1903532),1/73,0.0394346948215383,0.0659583963739748,0,0,27.6625,89.43588520720674,TMED10
GO_Biological_Process_2023,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),1/74,0.0399649396748714,0.0659583963739748,0,0,27.28219178082192,87.84191112168185,NONO
GO_Biological_Process_2023,Regulation Of mRNA Stability (GO:0043488),1/74,0.0399649396748714,0.0659583963739748,0,0,27.28219178082192,87.84191112168185,PABPC1
GO_Biological_Process_2023,Positive Regulation Of Protein Secretion (GO:0050714),1/76,0.0410246312082467,0.0671612914135007,0,0,26.552,84.79600603121183,TMED10
GO_Biological_Process_2023,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),1/78,0.0420832593305425,0.0683432131528011,0,0,25.85974025974026,81.92637908684091,LY96
GO_Biological_Process_2023,Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),1/79,0.0426121749090392,0.0686529484645632,0,0,25.52692307692308,80.55314827174135,CCND1
GO_Biological_Process_2023,Glycoprotein Biosynthetic Process (GO:0009101),1/80,0.0431408249946982,0.0689573816844389,0,0,25.20253164556962,79.21875265135186,NPC1
Reactome_2022,Transcriptional Regulation By VENTX R-HSA-8853884,1/39,0.0212471852336025,0.0690533520092083,0,0,52.502631578947366,202.2155053364779,CCND1
