names,scores,logfoldchanges,pvals,pvals_adj,comparison
AC105339.3,-0.065668456,-19.974459,0.9476417883580515,1.0,Co-culture_vs_Control
AC004556.1,-0.065668456,-19.678146,0.9476417883580515,1.0,Co-culture_vs_Control
ABHD15-AS1,-0.065668456,-19.847248,0.9476417883580515,1.0,Co-culture_vs_Control
RIMBP3C,-0.065668456,-19.741604,0.9476417883580515,1.0,Co-culture_vs_Control
AC087286.3,-0.065668456,-20.09536,0.9476417883580515,1.0,Co-culture_vs_Control
AP002957.1,-0.065668456,-19.658117,0.9476417883580515,1.0,Co-culture_vs_Control
MUC19,-0.065668456,-19.946684,0.9476417883580515,1.0,Co-culture_vs_Control
HBA2,-0.065668456,-19.915075,0.9476417883580515,1.0,Co-culture_vs_Control
RAI1-AS1,-0.065668456,-20.281399,0.9476417883580515,1.0,Co-culture_vs_Control
AL596094.1,-0.065668456,-19.932795,0.9476417883580515,1.0,Co-culture_vs_Control
AL596211.1,-0.065668456,-19.999008,0.9476417883580515,1.0,Co-culture_vs_Control
VWA3A,-0.065668456,-19.658691,0.9476417883580515,1.0,Co-culture_vs_Control
GHRHR,-0.065668456,-20.142788,0.9476417883580515,1.0,Co-culture_vs_Control
LINC01568,-0.065668456,-19.599802,0.9476417883580515,1.0,Co-culture_vs_Control
AC037459.4,-0.065668456,-19.843557,0.9476417883580515,1.0,Co-culture_vs_Control
ADAMTSL2,-0.065668456,-19.808098,0.9476417883580515,1.0,Co-culture_vs_Control
LINC00332,-0.065668456,-20.022207,0.9476417883580515,1.0,Co-culture_vs_Control
AP000646.1,-0.065668456,-20.09942,0.9476417883580515,1.0,Co-culture_vs_Control
LINC00474,-0.065668456,-19.686268,0.9476417883580515,1.0,Co-culture_vs_Control
U62317.4,-0.065668456,-19.747099,0.9476417883580515,1.0,Co-culture_vs_Control
RAET1L,-0.065668456,-19.615458,0.9476417883580515,1.0,Co-culture_vs_Control
MYL7,-0.065668456,-19.990799,0.9476417883580515,1.0,Co-culture_vs_Control
LINC01704,-0.065668456,-19.717604,0.9476417883580515,1.0,Co-culture_vs_Control
AC114730.2,-0.065668456,-19.814999,0.9476417883580515,1.0,Co-culture_vs_Control
AC018557.1,-0.066017486,-0.9827341,0.9473639016860453,1.0,Co-culture_vs_Control
AC009812.3,-0.066017486,-1.0755396,0.9473639016860453,1.0,Co-culture_vs_Control
AC117402.1,-0.06602516,-1.0785533,0.9473577943584475,1.0,Co-culture_vs_Control
AC001226.1,-0.066032834,-1.2910029,0.9473516870339428,1.0,Co-culture_vs_Control
AP000275.2,-0.0660405,-1.1548442,0.9473455797125319,1.0,Co-culture_vs_Control
CLIP1-AS1,-0.0660405,-1.1101946,0.9473455797125319,1.0,Co-culture_vs_Control
MPV17L,-0.0660405,-1.1698184,0.9473455797125319,1.0,Co-culture_vs_Control
MYO15B,-0.0660405,-1.1878555,0.9473455797125319,1.0,Co-culture_vs_Control
CHD5,-0.066048175,-1.1479378,0.9473394723942148,1.0,Co-culture_vs_Control
FRMD6-AS2,-0.066048175,-1.096483,0.9473394723942148,1.0,Co-culture_vs_Control
AC092119.3,-0.066048175,-1.1040653,0.9473394723942148,1.0,Co-culture_vs_Control
RBM46,-0.066048175,-1.4815674,0.9473394723942148,1.0,Co-culture_vs_Control
DOK5,-0.06605584,-1.1757956,0.9473333650789921,1.0,Co-culture_vs_Control
IL12RB2,-0.06605584,-1.2974794,0.9473333650789921,1.0,Co-culture_vs_Control
COX8C,-0.06605584,-1.1475365,0.9473333650789921,1.0,Co-culture_vs_Control
AC093330.1,-0.06605584,-1.3064275,0.9473333650789921,1.0,Co-culture_vs_Control
NAV2-AS4,-0.06605584,-1.2667261,0.9473333650789921,1.0,Co-culture_vs_Control
ANXA13,-0.06605584,-1.3230654,0.9473333650789921,1.0,Co-culture_vs_Control
AC099066.2,-0.066063516,-1.4008064,0.9473272577668642,1.0,Co-culture_vs_Control
IGFL2-AS1,-0.066063516,-1.3110762,0.9473272577668642,1.0,Co-culture_vs_Control
LINC00535,-0.066063516,-1.230396,0.9473272577668642,1.0,Co-culture_vs_Control
GABRB3,-0.066063516,-1.3571794,0.9473272577668642,1.0,Co-culture_vs_Control
CALML4,-0.066063516,-1.2628691,0.9473272577668642,1.0,Co-culture_vs_Control
AC211433.2,-0.06607119,-1.3419942,0.9473211504578314,1.0,Co-culture_vs_Control
AC093763.1,-0.06607119,-1.3708311,0.9473211504578314,1.0,Co-culture_vs_Control
NTN5,-0.06607119,-1.5442215,0.9473211504578314,1.0,Co-culture_vs_Control
SMARCA5-AS1,-0.06607119,-1.3747143,0.9473211504578314,1.0,Co-culture_vs_Control
TNNC1,-0.06607119,-1.2771453,0.9473211504578314,1.0,Co-culture_vs_Control
AC116158.1,-0.06607119,-1.3727534,0.9473211504578314,1.0,Co-culture_vs_Control
RAMP1,-0.06607886,-1.4075223,0.9473150431518939,1.0,Co-culture_vs_Control
UBE2F-SCLY,-0.06607886,-1.4338175,0.9473150431518939,1.0,Co-culture_vs_Control
TMEM45B,-0.06607886,-1.4583728,0.9473150431518939,1.0,Co-culture_vs_Control
LINC00687,-0.06607886,-1.4946178,0.9473150431518939,1.0,Co-culture_vs_Control
AL078604.2,-0.06607886,-1.4295268,0.9473150431518939,1.0,Co-culture_vs_Control
ADAMTS18,-0.06607886,-1.3538474,0.9473150431518939,1.0,Co-culture_vs_Control
AC068831.1,-0.06607886,-1.5771761,0.9473150431518939,1.0,Co-culture_vs_Control
AL121790.1,-0.06607886,-1.3804358,0.9473150431518939,1.0,Co-culture_vs_Control
AC138761.3,-0.06608653,-1.5409776,0.9473089358490522,1.0,Co-culture_vs_Control
ST8SIA1,-0.06608653,-1.564188,0.9473089358490522,1.0,Co-culture_vs_Control
AP000223.1,-0.06608653,-1.5255829,0.9473089358490522,1.0,Co-culture_vs_Control
Z82243.1,-0.0660942,-1.4758736,0.9473028285493067,1.0,Co-culture_vs_Control
FAM66B,-0.0660942,-1.4681946,0.9473028285493067,1.0,Co-culture_vs_Control
LINC01513,-0.0660942,-1.4074306,0.9473028285493067,1.0,Co-culture_vs_Control
JAZF1-AS1,-0.0660942,-1.4070452,0.9473028285493067,1.0,Co-culture_vs_Control
TMEM213,-0.0660942,-1.5639368,0.9473028285493067,1.0,Co-culture_vs_Control
AC112236.2,-0.066109546,-1.6134121,0.9472906139591054,1.0,Co-culture_vs_Control
KCNJ5,-0.06611721,-1.6706269,0.9472845066686504,1.0,Co-culture_vs_Control
C4orf54,-0.066124886,-1.6541992,0.947278399381293,1.0,Co-culture_vs_Control
SPX,-0.0662016,-0.022397485,0.9472173266781636,1.0,Co-culture_vs_Control
CYP46A1,-0.06634351,-0.5564719,0.9471043429952751,1.0,Co-culture_vs_Control
SLC9B1,-0.06640488,-0.7061532,0.9470554855157868,1.0,Co-culture_vs_Control
AL590708.1,-0.06641255,-0.6289132,0.9470493783448464,1.0,Co-culture_vs_Control
HPD,-0.066443235,-0.743189,0.9470249496922019,1.0,Co-culture_vs_Control
INHBA-AS1,-0.06645091,-0.7845045,0.9470188425368218,1.0,Co-culture_vs_Control
AP001267.2,-0.066458575,-0.88651603,0.9470127353845548,1.0,Co-culture_vs_Control
RNF224,-0.06646625,-0.83116853,0.9470066282354013,1.0,Co-culture_vs_Control
TNS1,-0.066473916,-0.80473703,0.9470005210893617,1.0,Co-culture_vs_Control
LINC02024,-0.066473916,-0.81561315,0.9470005210893617,1.0,Co-culture_vs_Control
AC010401.1,-0.066473916,-0.80687433,0.9470005210893617,1.0,Co-culture_vs_Control
HSD17B2,-0.06648159,-0.9197814,0.9469944139464362,1.0,Co-culture_vs_Control
GCC2-AS1,-0.06648159,-0.8990135,0.9469944139464362,1.0,Co-culture_vs_Control
BRWD1-AS2,-0.066489264,-0.8421754,0.9469883068066254,1.0,Co-culture_vs_Control
TMEM233,-0.066489264,-0.88396746,0.9469883068066254,1.0,Co-culture_vs_Control
AC005162.3,-0.066504605,-0.90195507,0.9469760925363488,1.0,Co-culture_vs_Control
AL138963.3,-0.066504605,-0.92464685,0.9469760925363488,1.0,Co-culture_vs_Control
TEKT3,-0.06651227,-0.84095705,0.9469699854058837,1.0,Co-culture_vs_Control
AL024498.1,-0.06651227,-0.88120955,0.9469699854058837,1.0,Co-culture_vs_Control
PRC1-AS1,-0.06651227,-0.9922939,0.9469699854058837,1.0,Co-culture_vs_Control
UGT1A3,-0.066519946,-0.9118396,0.9469638782785348,1.0,Co-culture_vs_Control
AL121983.2,-0.06653529,-0.9825955,0.9469516640331861,1.0,Co-culture_vs_Control
HSPB9,-0.06654296,-1.0372914,0.9469455569151872,1.0,Co-culture_vs_Control
AC025423.1,-0.06670022,-0.40806776,0.9468203616837246,1.0,Co-culture_vs_Control
AC099518.1,-0.06674624,-0.5027647,0.946783719425236,1.0,Co-culture_vs_Control
Z82246.1,-0.06677693,-0.49603504,0.9467592913154436,1.0,Co-culture_vs_Control
CR786580.1,-0.06680761,-0.53337383,0.9467348632557046,1.0,Co-culture_vs_Control
LINC01728,-0.06680761,-0.55329925,0.9467348632557046,1.0,Co-culture_vs_Control
UNC5CL,-0.06682295,-0.59306693,0.9467226492446122,1.0,Co-culture_vs_Control
CXorf58,-0.06683063,-0.519584,0.9467165422437616,1.0,Co-culture_vs_Control
AL049780.1,-0.06686131,-0.6252737,0.9466921142716711,1.0,Co-culture_vs_Control
FAM78A,-0.06692268,-0.6063599,0.9466432584778621,1.0,Co-culture_vs_Control
DRD4,-0.066945694,-0.68951386,0.9466249376069036,1.0,Co-culture_vs_Control
AC073842.2,-0.066976376,-0.78336096,0.9466005098228675,1.0,Co-culture_vs_Control
AC007687.1,-0.06699172,-0.76122266,0.9465882959496739,1.0,Co-culture_vs_Control
NELL2,-0.067072265,-0.35293174,0.9465241733214282,1.0,Co-culture_vs_Control
AP001922.5,-0.0670761,-0.8236218,0.9465211198715778,1.0,Co-culture_vs_Control
MCIDAS,-0.067118295,-0.5160735,0.9464875319750815,1.0,Co-culture_vs_Control
H3F3C,-0.067148976,-0.37310386,0.9464631044737307,1.0,Co-culture_vs_Control
LINC02541,-0.06720267,-0.41856351,0.9464203564674896,1.0,Co-culture_vs_Control
SLCO1A2,-0.06723336,-0.4644742,0.9463959291046042,1.0,Co-culture_vs_Control
OTUD7A,-0.06728706,-0.48704934,0.946353181340829,1.0,Co-culture_vs_Control
GPC4,-0.06732541,-0.50612855,0.9463226473184034,1.0,Co-culture_vs_Control
AC015849.3,-0.06734843,-0.5379401,0.9463043269427921,1.0,Co-culture_vs_Control
AC138356.1,-0.067432806,-0.5783757,0.9462371524752252,1.0,Co-culture_vs_Control
RNF144A,-0.067590065,-0.3267142,0.946111964715063,1.0,Co-culture_vs_Control
CRH,-0.06768979,-0.38692653,0.946032578044218,1.0,Co-culture_vs_Control
KIF21B,-0.067824036,-0.24766676,0.9459257122183058,1.0,Co-culture_vs_Control
ANKRD31,-0.067923754,-0.30450833,0.9458463268059666,1.0,Co-culture_vs_Control
AC026202.2,-0.068000466,-0.32590494,0.945785261470035,1.0,Co-culture_vs_Control
AL132656.2,-0.068058,-0.60550934,0.9457394626771084,1.0,Co-culture_vs_Control
AC092376.2,-0.06810019,-0.3583131,0.9457058770095941,1.0,Co-culture_vs_Control
PKD1L1,-0.06813088,-0.36463886,0.945681451130191,1.0,Co-culture_vs_Control
ZC3H11B,-0.06824211,-0.25200018,0.9455929077455796,1.0,Co-culture_vs_Control
AC108704.1,-0.06824978,-0.19298178,0.9455868013300232,1.0,Co-culture_vs_Control
AL121820.2,-0.06829964,-0.1346339,0.94554710970685,1.0,Co-culture_vs_Control
LMNTD2,-0.06830347,-0.22700271,0.9455440565106651,1.0,Co-culture_vs_Control
PNPLA7,-0.06841854,-0.29423973,0.9454524609972619,1.0,Co-culture_vs_Control
SNCAIP,-0.06856813,-0.20402771,0.945333387908062,1.0,Co-culture_vs_Control
AL136531.1,-0.068660185,-0.21378902,0.9452601127677348,1.0,Co-culture_vs_Control
VMAC,-0.0687484,-0.11063799,0.9451898911928293,1.0,Co-culture_vs_Control
AC119674.2,-0.06896703,-0.093582936,0.9450158656482478,1.0,Co-culture_vs_Control
ITGBL1,-0.06910894,-0.20216723,0.9449029031021795,1.0,Co-culture_vs_Control
TTC21A,-0.06920483,-0.13692406,0.9448265776845831,1.0,Co-culture_vs_Control
CAND2,-0.06970345,-0.22758926,0.9444296936934804,1.0,Co-culture_vs_Control
AC012645.1,-0.06979934,-0.15477951,0.9443533714273871,1.0,Co-culture_vs_Control
B3GNT4,-0.0699566,-0.23210597,0.944228204017142,1.0,Co-culture_vs_Control
CFD,-0.07006399,-0.06564907,0.9441427246256436,1.0,Co-culture_vs_Control
SLC35G2,-0.07060481,-0.045658723,0.9437122846274228,1.0,Co-culture_vs_Control
AL591845.1,-0.07062399,-0.062222183,0.9436970210987042,1.0,Co-culture_vs_Control
ZNF783,-0.07107274,-0.014812984,0.9433398604403372,1.0,Co-culture_vs_Control
SIRPD,-0.071237676,-0.14330873,0.9432085991255537,1.0,Co-culture_vs_Control
KIF24,-0.07152917,-0.002837215,0.9429766061570379,1.0,Co-culture_vs_Control
MBD5,-0.07190506,-0.008880475,0.94267746447225,1.0,Co-culture_vs_Control
AF196972.1,-0.071966425,-0.11429172,0.942628625780158,1.0,Co-culture_vs_Control
TTC33,-0.07200095,-0.039941397,0.9426011541106325,1.0,Co-culture_vs_Control
DENND4B,-0.07202396,0.015877478,0.9425828397022135,1.0,Co-culture_vs_Control
