Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Osteoblast Differentiation (GO:0045668)	1/32	1.746406e-02	4.487601e-02	0	0	6.438065e+01	2.605877e+02	CDK6
GO_Biological_Process_2023	Vesicle Budding From Membrane (GO:0006900)	1/32	1.746406e-02	4.487601e-02	0	0	6.438065e+01	2.605877e+02	TMED10
GO_Biological_Process_2023	Regulation Of Amyloid-Beta Formation (GO:1902003)	1/33	1.800532e-02	4.568851e-02	0	0	6.236563e+01	2.505282e+02	TMED10
GO_Biological_Process_2023	Regulation Of Cellular Senescence (GO:2000772)	1/35	1.908703e-02	4.783539e-02	0	0	5.869118e+01	2.323435e+02	CDK6
GO_Biological_Process_2023	COPII-coated Vesicle Budding (GO:0090114)	1/36	1.962747e-02	4.800454e-02	0	0	5.701143e+01	2.241020e+02	TMED10
GO_Biological_Process_2023	Regulation Of Erythrocyte Differentiation (GO:0045646)	1/36	1.962747e-02	4.800454e-02	0	0	5.701143e+01	2.241020e+02	CDK6
GO_Biological_Process_2023	RNA Stabilization (GO:0043489)	1/37	2.016765e-02	4.873848e-02	0	0	5.542500e+01	2.163612e+02	PABPC1
GO_Biological_Process_2023	Lymphocyte Proliferation (GO:0046651)	1/38	2.070755e-02	4.886334e-02	0	0	5.392432e+01	2.090785e+02	CTPS1
GO_Biological_Process_2023	Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209)	1/38	2.070755e-02	4.886334e-02	0	0	5.392432e+01	2.090785e+02	TXNDC17
GO_Biological_Process_2023	Regulation Of Gene Expression (GO:0010468)	3/1127	2.094143e-02	4.886334e-02	0	0	6.293928e+00	2.433249e+01	CDK6;NPC1;NONO
GO_Biological_Process_2023	mRNA 3'-End Processing (GO:0031124)	1/40	2.178655e-02	4.926202e-02	0	0	5.115385e+01	1.957383e+02	PABPC1
GO_Biological_Process_2023	Negative Regulation Of mRNA Catabolic Process (GO:1902373)	1/41	2.232564e-02	4.926202e-02	0	0	4.987250e+01	1.896162e+02	PABPC1
GO_Biological_Process_2023	Positive Regulation Of Response To Biotic Stimulus (GO:0002833)	1/41	2.232564e-02	4.926202e-02	0	0	4.987250e+01	1.896162e+02	LY96
GO_Biological_Process_2023	Regulation Of Amide Metabolic Process (GO:0034248)	1/41	2.232564e-02	4.926202e-02	0	0	4.987250e+01	1.896162e+02	TMED10
GO_Biological_Process_2023	Positive Regulation Of Viral Process (GO:0048524)	1/41	2.232564e-02	4.926202e-02	0	0	4.987250e+01	1.896162e+02	PABPC1
GO_Biological_Process_2023	Positive Regulation Of Cell-Matrix Adhesion (GO:0001954)	1/43	2.340302e-02	5.108401e-02	0	0	4.749286e+01	1.783305e+02	CDK6
GO_Biological_Process_2023	Positive Regulation Of mRNA Catabolic Process (GO:0061014)	1/45	2.447932e-02	5.235529e-02	0	0	4.532955e+01	1.681693e+02	PABPC1
GO_Biological_Process_2023	Regulation Of Fibroblast Proliferation (GO:0048145)	1/46	2.501706e-02	5.235529e-02	0	0	4.432000e+01	1.634609e+02	CDK6
GO_Biological_Process_2023	Vacuolar Transport (GO:0007034)	1/46	2.501706e-02	5.235529e-02	0	0	4.432000e+01	1.634609e+02	NPC1
GO_Biological_Process_2023	Negative Regulation Of Cellular Metabolic Process (GO:0031324)	1/46	2.501706e-02	5.235529e-02	0	0	4.432000e+01	1.634609e+02	CDK6
GO_Biological_Process_2023	Cellular Defense Response (GO:0006968)	1/48	2.609174e-02	5.350125e-02	0	0	4.242979e+01	1.547048e+02	LY96
GO_Biological_Process_2023	Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum (GO:0006890)	1/48	2.609174e-02	5.350125e-02	0	0	4.242979e+01	1.547048e+02	TMED10
GO_Biological_Process_2023	Neurogenesis (GO:0022008)	1/49	2.662868e-02	5.405622e-02	0	0	4.154375e+01	1.506279e+02	CDK6
GO_Biological_Process_2023	Regulation Of TORC1 Signaling (GO:1903432)	1/50	2.716534e-02	5.459664e-02	0	0	4.069388e+01	1.467345e+02	NPC1
GO_Biological_Process_2023	Regulated Exocytosis (GO:0045055)	1/51	2.770174e-02	5.459664e-02	0	0	3.987800e+01	1.430129e+02	TMED10
GO_Biological_Process_2023	Cholesterol Transport (GO:0030301)	1/51	2.770174e-02	5.459664e-02	0	0	3.987800e+01	1.430129e+02	NPC1
GO_Biological_Process_2023	mRNA Stabilization (GO:0048255)	1/53	2.877373e-02	5.562922e-02	0	0	3.834038e+01	1.360429e+02	PABPC1
GO_Biological_Process_2023	Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029)	1/53	2.877373e-02	5.562922e-02	0	0	3.834038e+01	1.360429e+02	CCND1
GO_Biological_Process_2023	Negative Regulation Of TOR Signaling (GO:0032007)	1/54	2.930932e-02	5.613012e-02	0	0	3.761509e+01	1.327756e+02	NPC1
